Bravyi-Kitaev mapping of ethylene Hamiltonian in sto3g basis.
IIIIIIIIIIIIIIIIIIIIIIII (-51.161025573776655+0j)
IYYZIIIIIIIIIZYYIIIIIIII (0.03383989276073856+0j)
IXXIIIIIIIIIIZYYIIIIIIII (0.03383989276073856+0j)
IIIIIIIIIIIIIZZZIIIIIIII (0.055786839182355+0j)
IIIIIIIIIIIIZZIZIIIIIIII (0.07942011889675399+0j)
IIIIIIIIIIIZIIZZIIIIIIII (0.12233771475036864+0j)
IIIIIIIIIYYXIIZZIIIIIIII (0.0010368204599789624+0j)
IIIIIIIIIXYYIIZZIIIIIIII (-0.0010368204599789624+0j)
XIYIZIIIYIXXZIZZZIIIIIII (-0.00128093008702514+0j)
XIXZZIIIYIXYZIZZZIIIIIII (0.00128093008702514+0j)
IIIIIIIIIIZZIIZZIIIIIIII (0.0964384510166016+0j)
XIIIXIXYYIXZZIZZZIIIIIII (0.002534878827056476+0j)
XIIIXIXXYIYIZIZZZIIIIIII (-0.002534878827056476+0j)
XYZIZIIIYIXZZIZZZIIIIIII (-0.004658295852486342+0j)
XXZIZIIIYIYIZIZZZIIIIIII (0.004658295852486342+0j)
IIIIIIIIIZIIIIZZIIIIIIII (0.09491385267587076+0j)
XIYIZIIIYXZIZIZZZIIIIIII (0.007497511646039503+0j)
XIXZZIIIYYZIZIZZZIIIIIII (-0.007497511646039503+0j)
IIIIIIIIZZZIZIZZZIIIIIII (0.0934712511221524+0j)
XIXYZIIIYZZIZIZZZIIIIIII (-0.006121507710504859+0j)
XIXXZIIIXIIIIIZZIIIIIIII (-0.006121507710504859+0j)
IIIIIIIZIIIIIIZZIIIIIIII (0.09705662593065369+0j)
IYZIYIXXIIIIIIZZIIIIIIII (-0.006773090620130146+0j)
IXZIYIXYIIIIIIZZIIIIIIII (0.006773090620130146+0j)
IIIIIIZZIIIIIIZZIIIIIIII (0.09358858266926683+0j)
ZIIIXIXZIIIIIIZZIIIIIIII (0.007451139035775741+0j)
IZZIYIYIIIIIIIZZIIIIIIII (0.007451139035775741+0j)
IIIIIZIIIIIIIIZZIIIIIIII (0.09625745861881944+0j)
IIIIZZZIIIIIIIZZIIIIIIII (0.09942718591586899+0j)
IIIZIIIIIIIIIIZZIIIIIIII (0.09425920730659897+0j)
IIZZIIIIIIIIIIZZIIIIIIII (0.09514915778921713+0j)
IZIIIIIIIIIIIIZZIIIIIIII (0.09575727589251444+0j)
ZZZIZIIIIIIIIIZZIIIIIIII (0.09848815632142813+0j)
IIIIIIIIIIZXIYYZIIIIIIII (-0.0020458213373521967+0j)
IIIIIIIIIIIXIYYZIIIIIIII (0.0020458213373521967+0j)
IIIIIIIIIIZXIXXIIIIIIIII (-0.0020458213373521967+0j)
IIIIIIIIIIIXIXXIIIIIIIII (0.0020458213373521967+0j)
XIIIXIXYYIXXZYYZZIIIIIII (-0.002567840562823359+0j)
XIIIXIXXYIXYZYYZZIIIIIII (0.002567840562823359+0j)
XIIIXIXYYIXXZXXIZIIIIIII (-0.002567840562823359+0j)
XIIIXIXXYIXYZXXIZIIIIIII (0.002567840562823359+0j)
XYZIZIIIYIXXZYYZZIIIIIII (-0.0010164718372950977+0j)
XXZIZIIIYIXYZYYZZIIIIIII (0.0010164718372950977+0j)
XYZIZIIIYIXXZXXIZIIIIIII (-0.0010164718372950977+0j)
XXZIZIIIYIXYZXXIZIIIIIII (0.0010164718372950977+0j)
IIIIIIIIIYYZIYYZIIIIIIII (-0.026995548970443126+0j)
IIIIIIIIIXXIIYYZIIIIIIII (-0.026995548970443126+0j)
IIIIIIIIIYYZIXXIIIIIIIII (-0.026995548970443126+0j)
IIIIIIIIIXXIIXXIIIIIIIII (-0.026995548970443126+0j)
XIYIZIIIYIXZZYYZZIIIIIII (0.0056399736046028265+0j)
XIXZZIIIYIYIZYYZZIIIIIII (-0.0056399736046028265+0j)
XIYIZIIIYIXZZXXIZIIIIIII (0.0056399736046028265+0j)
XIXZZIIIYIYIZXXIZIIIIIII (-0.0056399736046028265+0j)
XIIIXIXYYXZIZYYZZIIIIIII (-0.030634926754053136+0j)
XIIIXIXXYYZIZYYZZIIIIIII (0.030634926754053136+0j)
XIIIXIXYYXZIZXXIZIIIIIII (-0.030634926754053136+0j)
XIIIXIXXYYZIZXXIZIIIIIII (0.030634926754053136+0j)
XYZIZIIIYXZIZYYZZIIIIIII (-0.00499556608509594+0j)
XXZIZIIIYYZIZYYZZIIIIIII (0.00499556608509594+0j)
XYZIZIIIYXZIZXXIZIIIIIII (-0.00499556608509594+0j)
XXZIZIIIYYZIZXXIZIIIIIII (0.00499556608509594+0j)
XIIIXIYIYZZIZYYZZIIIIIII (-0.034446044669688876+0j)
XIIIXIXZXIIIIYYZIIIIIIII (-0.034446044669688876+0j)
XIIIXIYIYZZIZXXIZIIIIIII (-0.034446044669688876+0j)
XIIIXIXZXIIIIXXIIIIIIIII (-0.034446044669688876+0j)
YIIIIIIIYZZIZYYZZIIIIIII (-0.002003959567311108+0j)
XZZIZIIIXIIIIYYZIIIIIIII (-0.002003959567311108+0j)
YIIIIIIIYZZIZXXIZIIIIIII (-0.002003959567311108+0j)
XZZIZIIIXIIIIXXIIIIIIIII (-0.002003959567311108+0j)
IIYIYIXXIIIIIYYZIIIIIIII (-0.004555042575591559+0j)
IIXZYIXYIIIIIYYZIIIIIIII (0.004555042575591559+0j)
IIYIYIXXIIIIIXXIIIIIIIII (-0.004555042575591559+0j)
IIXZYIXYIIIIIXXIIIIIIIII (0.004555042575591559+0j)
IIXYYIXZIIIIIYYZIIIIIIII (0.010350550989201693+0j)
IIXXYIYIIIIIIYYZIIIIIIII (-0.010350550989201693+0j)
IIXYYIXZIIIIIXXIIIIIIIII (0.010350550989201693+0j)
IIXXYIYIIIIIIXXIIIIIIIII (-0.010350550989201693+0j)
IIIIZXZIIIIIIYYZIIIIIIII (0.029952480248448318+0j)
IIIIIXIIIIIIIYYZIIIIIIII (-0.029952480248448318+0j)
IIIIZXZIIIIIIXXIIIIIIIII (0.029952480248448318+0j)
IIIIIXIIIIIIIXXIIIIIIIII (-0.029952480248448318+0j)
ZIXXZIIIIIIIIYYZIIIIIIII (0.03383989276073856+0j)
IZYYIIIIIIIIIYYZIIIIIIII (0.03383989276073856+0j)
ZIXXZIIIIIIIIXXIIIIIIIII (0.03383989276073856+0j)
IZYYIIIIIIIIIXXIIIIIIIII (0.03383989276073856+0j)
IYYZIIIIIIIIIYYZIIIIIIII (0.039970436710159436+0j)
IXXIIIIIIIIIIYYZIIIIIIII (0.039970436710159436+0j)
IYYZIIIIIIIIIXXIIIIIIIII (0.039970436710159436+0j)
IXXIIIIIIIIIIXXIIIIIIIII (0.039970436710159436+0j)
XIIIXIYIYIXXIIXZZIIIIIII (0.0019523212917112536+0j)
XIIIXIXZYIXYIIXZZIIIIIII (-0.0019523212917112536+0j)
XIIIXIYIYIXXZZXIZIIIIIII (-0.0019523212917112536+0j)
XIIIXIXZYIXYZZXIZIIIIIII (0.0019523212917112536+0j)
YIIIIIIIYIXXIIXZZIIIIIII (0.0034761318517933623+0j)
XZZIZIIIYIXYIIXZZIIIIIII (-0.0034761318517933623+0j)
YIIIIIIIYIXXZZXIZIIIIIII (-0.0034761318517933623+0j)
XZZIZIIIYIXYZZXIZIIIIIII (0.0034761318517933623+0j)
IIIIIIIIZIXZIIXZZIIIIIII (-0.016180856270541662+0j)
IIIIIIIIIZXIZIXZIIIIIIII (0.016180856270541662+0j)
IIIIIIIIZIXZZZXIZIIIIIII (0.016180856270541662+0j)
IIIIIIIIIZXIIZXIIIIIIIII (-0.016180856270541662+0j)
XIXYZIIIYIXZIIXZZIIIIIII (0.0023435863096328163+0j)
XIXXZIIIYIYIIIXZZIIIIIII (-0.0023435863096328163+0j)
XIXYZIIIYIXZZZXIZIIIIIII (-0.0023435863096328163+0j)
XIXXZIIIYIYIZZXIZIIIIIII (0.0023435863096328163+0j)
XIIIXIYIYXZIIIXZZIIIIIII (0.019147121761494964+0j)
XIIIXIXZYYZIIIXZZIIIIIII (-0.019147121761494964+0j)
XIIIXIYIYXZIZZXIZIIIIIII (-0.019147121761494964+0j)
XIIIXIXZYYZIZZXIZIIIIIII (0.019147121761494964+0j)
YIIIIIIIYXZIIIXZZIIIIIII (-0.0018703120229284918+0j)
XZZIZIIIYYZIIIXZZIIIIIII (0.0018703120229284918+0j)
YIIIIIIIYXZIZZXIZIIIIIII (0.0018703120229284918+0j)
XZZIZIIIYYZIZZXIZIIIIIII (-0.0018703120229284918+0j)
XIIIXIXYYZZIIIXZZIIIIIII (0.008711515800026541+0j)
XIIIXIXXXIIIZIXZIIIIIIII (0.008711515800026541+0j)
XIIIXIXYYZZIZZXIZIIIIIII (-0.008711515800026541+0j)
XIIIXIXXXIIIIZXIIIIIIIII (-0.008711515800026541+0j)
XYZIZIIIYZZIIIXZZIIIIIII (-0.008875244053079616+0j)
XXZIZIIIXIIIZIXZIIIIIIII (-0.008875244053079616+0j)
XYZIZIIIYZZIZZXIZIIIIIII (0.008875244053079616+0j)
XXZIZIIIXIIIIZXIIIIIIIII (0.008875244053079616+0j)
IIXYYIXXIIIIZIXZIIIIIIII (-0.011646895104177803+0j)
IIXXYIXYIIIIZIXZIIIIIIII (0.011646895104177803+0j)
IIXYYIXXIIIIIZXIIIIIIIII (0.011646895104177803+0j)
IIXXYIXYIIIIIZXIIIIIIIII (-0.011646895104177803+0j)
IIYIYIXZIIIIZIXZIIIIIIII (0.009860645547954662+0j)
IIXZYIYIIIIIZIXZIIIIIIII (-0.009860645547954662+0j)
IIYIYIXZIIIIIZXIIIIIIIII (-0.009860645547954662+0j)
IIXZYIYIIIIIIZXIIIIIIIII (0.009860645547954662+0j)
IYYXIIIIIIIIZIXZIIIIIIII (0.016800783061335117+0j)
IXYYIIIIIIIIZIXZIIIIIIII (-0.016800783061335117+0j)
IYYXIIIIIIIIIZXIIIIIIIII (-0.016800783061335117+0j)
IXYYIIIIIIIIIZXIIIIIIIII (0.016800783061335117+0j)
ZIXZZIIIIIIIZIXZIIIIIIII (0.01906803742467414+0j)
IZXIIIIIIIIIZIXZIIIIIIII (-0.01906803742467414+0j)
ZIXZZIIIIIIIIZXIIIIIIIII (-0.01906803742467414+0j)
IZXIIIIIIIIIIZXIIIIIIIII (0.01906803742467414+0j)
IIIIIIIIIIIIZIZIIIIIIIII (0.0843726342811925+0j)
IIIIIIIIIIIZIZIIIIIIIIII (0.1212626204597928+0j)
IIIIIIIIIYYXIZIIIIIIIIII (0.00046413921496710686+0j)
IIIIIIIIIXYYIZIIIIIIIIII (-0.00046413921496710686+0j)
XIYIZIIIYIXXZZIIZIIIIIII (-0.0007698416010695065+0j)
XIXZZIIIYIXYZZIIZIIIIIII (0.0007698416010695065+0j)
IIIIIIIIIIZZIZIIIIIIIIII (0.09420739305705479+0j)
XIIIXIXYYIXZZZIIZIIIIIII (-0.000632004232008038+0j)
XIIIXIXXYIYIZZIIZIIIIIII (0.000632004232008038+0j)
XYZIZIIIYIXZZZIIZIIIIIII (-0.005690780067542666+0j)
XXZIZIIIYIYIZZIIZIIIIIII (0.005690780067542666+0j)
IIIIIIIIIZIIIZIIIIIIIIII (0.09697607669874395+0j)
XIYIZIIIYXZIZZIIZIIIIIII (0.00876739068656798+0j)
XIXZZIIIYYZIZZIIZIIIIIII (-0.00876739068656798+0j)
IIIIIIIIZZZIZZIIZIIIIIII (0.09286178413506557+0j)
XIXYZIIIYZZIZZIIZIIIIIII (-0.005117995839271821+0j)
XIXXZIIIXIIIIZIIIIIIIIII (-0.005117995839271821+0j)
IIIIIIIZIIIIIZIIIIIIIIII (0.0974862594371085+0j)
IYZIYIXXIIIIIZIIIIIIIIII (-0.008947413850400798+0j)
IXZIYIXYIIIIIZIIIIIIIIII (0.008947413850400798+0j)
IIIIIIZZIIIIIZIIIIIIIIII (0.09357948118658863+0j)
ZIIIXIXZIIIIIZIIIIIIIIII (0.00702971030984826+0j)
IZZIYIYIIIIIIZIIIIIIIIII (0.00702971030984826+0j)
IIIIIZIIIIIIIZIIIIIIIIII (0.09437344413668568+0j)
IIIIZZZIIIIIIZIIIIIIIIII (0.09850149893454543+0j)
IIIZIIIIIIIIIZIIIIIIIIII (0.09287669260169662+0j)
IIZZIIIIIIIIIZIIIIIIIIII (0.09575727589251444+0j)
IZIIIIIIIIIIIZIIIIIIIIII (0.098008289421598+0j)
ZZZIZIIIIIIIIZIIIIIIIIII (0.09736771085116845+0j)
IIIIIIIIZIXXIXZIZIIIIIII (0.0012564337824261824+0j)
IIIIIIIIIZYYZXZIIIIIIIII (0.0012564337824261824+0j)
IIIIIIIIZIXXZXIIZIIIIIII (-0.0012564337824261824+0j)
IIIIIIIIIZYYIXIIIIIIIIII (-0.0012564337824261824+0j)
XIXYZIIIYIXXIXZIZIIIIIII (-0.0015622520047984324+0j)
XIXXZIIIYIXYIXZIZIIIIIII (0.0015622520047984324+0j)
XIXYZIIIYIXXZXIIZIIIIIII (0.0015622520047984324+0j)
XIXXZIIIYIXYZXIIZIIIIIII (-0.0015622520047984324+0j)
XIIIXIYIYIXZIXZIZIIIIIII (-0.009814882049530559+0j)
XIIIXIXZYIYIIXZIZIIIIIII (0.009814882049530559+0j)
XIIIXIYIYIXZZXIIZIIIIIII (0.009814882049530559+0j)
XIIIXIXZYIYIZXIIZIIIIIII (-0.009814882049530559+0j)
YIIIIIIIYIXZIXZIZIIIIIII (-0.0005286319439245347+0j)
XZZIZIIIYIYIIXZIZIIIIIII (0.0005286319439245347+0j)
YIIIIIIIYIXZZXIIZIIIIIII (0.0005286319439245347+0j)
XZZIZIIIYIYIZXIIZIIIIIII (-0.0005286319439245347+0j)
IIIIIIIIZXZIIXZIZIIIIIII (0.012706370709618244+0j)
IIIIIIIIIXIIZXZIIIIIIIII (-0.012706370709618244+0j)
IIIIIIIIZXZIZXIIZIIIIIII (-0.012706370709618244+0j)
IIIIIIIIIXIIIXIIIIIIIIII (0.012706370709618244+0j)
XIXYZIIIYXZIIXZIZIIIIIII (0.005752470916384158+0j)
XIXXZIIIYYZIIXZIZIIIIIII (-0.005752470916384158+0j)
XIXYZIIIYXZIZXIIZIIIIIII (-0.005752470916384158+0j)
XIXXZIIIYYZIZXIIZIIIIIII (0.005752470916384158+0j)
XIYIZIIIYZZIIXZIZIIIIIII (-0.006524593834047562+0j)
XIXZZIIIXIIIZXZIIIIIIIII (-0.006524593834047562+0j)
XIYIZIIIYZZIZXIIZIIIIIII (0.006524593834047562+0j)
XIXZZIIIXIIIIXIIIIIIIIII (0.006524593834047562+0j)
IIIIIIZXIIIIZXZIIIIIIIII (0.010207757710388864+0j)
IIIIIIIXIIIIZXZIIIIIIIII (-0.010207757710388864+0j)
IIIIIIZXIIIIIXIIIIIIIIII (-0.010207757710388864+0j)
IIIIIIIXIIIIIXIIIIIIIIII (0.010207757710388864+0j)
ZIIIXIXXIIIIZXZIIIIIIIII (-0.005117919074241349+0j)
IZZIYIXYIIIIZXZIIIIIIIII (-0.005117919074241349+0j)
ZIIIXIXXIIIIIXIIIIIIIIII (0.005117919074241349+0j)
IZZIYIXYIIIIIXIIIIIIIIII (0.005117919074241349+0j)
IYZIYIXZIIIIZXZIIIIIIIII (0.00856480886988155+0j)
IXZIYIYIIIIIZXZIIIIIIIII (-0.00856480886988155+0j)
IYZIYIXZIIIIIXIIIIIIIIII (-0.00856480886988155+0j)
IXZIYIYIIIIIIXIIIIIIIIII (0.00856480886988155+0j)
IIZXIIIIIIIIZXZIIIIIIIII (-0.014642333315226574+0j)
IIIXIIIIIIIIZXZIIIIIIIII (0.014642333315226574+0j)
IIZXIIIIIIIIIXIIIIIIIIII (0.014642333315226574+0j)
IIIXIIIIIIIIIXIIIIIIIIII (-0.014642333315226574+0j)
ZXZIZIIIIIIIZXZIIIIIIIII (0.01299507656997595+0j)
IXIIIIIIIIIIZXZIIIIIIIII (-0.01299507656997595+0j)
ZXZIZIIIIIIIIXIIIIIIIIII (-0.01299507656997595+0j)
IXIIIIIIIIIIIXIIIIIIIIII (0.01299507656997595+0j)
IIIIIIIIIIIZZZZIIIIIIIII (0.14556838500315206+0j)
IIIIIIIIIYYXZZZIIIIIIIII (0.0016220955098863218+0j)
IIIIIIIIIXYYZZZIIIIIIIII (-0.0016220955098863218+0j)
XIYIZIIIYIXXIZZIZIIIIIII (-0.0016694031246863965+0j)
XIXZZIIIYIXYIZZIZIIIIIII (0.0016694031246863965+0j)
IIIIIIIIIIZZZZZIIIIIIIII (0.11102281403157874+0j)
XIIIXIXYYIXZIZZIZIIIIIII (0.011498058073045032+0j)
XIIIXIXXYIYIIZZIZIIIIIII (-0.011498058073045032+0j)
XYZIZIIIYIXZIZZIZIIIIIII (-0.006036718272364447+0j)
XXZIZIIIYIYIIZZIZIIIIIII (0.006036718272364447+0j)
IIIIIIIIIZIIZZZIIIIIIIII (0.09840261423244845+0j)
XIYIZIIIYXZIIZZIZIIIIIII (0.011942113020476881+0j)
XIXZZIIIYYZIIZZIZIIIIIII (-0.011942113020476881+0j)
IIIIIIIIZZZIIZZIZIIIIIII (0.1031820520168202+0j)
XIXYZIIIYZZIIZZIZIIIIIII (-0.01698745619762778+0j)
XIXXZIIIXIIIZZZIIIIIIIII (-0.01698745619762778+0j)
IIIIIIIZIIIIZZZIIIIIIIII (0.10610536075126843+0j)
IYZIYIXXIIIIZZZIIIIIIIII (-0.009469756349826011+0j)
IXZIYIXYIIIIZZZIIIIIIIII (0.009469756349826011+0j)
IIIIIIZZIIIIZZZIIIIIIIII (0.09985781491777798+0j)
ZIIIXIXZIIIIZZZIIIIIIIII (0.017998441516727547+0j)
IZZIYIYIIIIIZZZIIIIIIIII (0.017998441516727547+0j)
IIIIIZIIIIIIZZZIIIIIIIII (0.10724829607098406+0j)
IIIIZZZIIIIIZZZIIIIIIIII (0.10957536252955123+0j)
IIIZIIIIIIIIZZZIIIIIIIII (0.10441476869913824+0j)
IIZZIIIIIIIIZZZIIIIIIIII (0.09848815632142813+0j)
IZIIIIIIIIIIZZZIIIIIIIII (0.09736771085116845+0j)
ZZZIZIIIIIIIZZZIIIIIIIII (0.11240633828215704+0j)
IIIIIIIIIIZIIIIIIIIIIIII (0.14487218193261908+0j)
XIIIXIXYYIXIZIIIZIIIIIII (0.02667189585017719+0j)
XIIIXIXXYIYZZIIIZIIIIIII (-0.02667189585017719+0j)
XYZIZIIIYIXIZIIIZIIIIIII (-0.017904184090453707+0j)
XXZIZIIIYIYZZIIIZIIIIIII (0.017904184090453707+0j)
IIIIIIIIIZIZIIIIIIIIIIII (0.11717989581186909+0j)
XIYIZIIIYXZZZIIIZIIIIIII (0.03425380510421565+0j)
XIXZZIIIYYZZZIIIZIIIIIII (-0.03425380510421565+0j)
IIIIIIIIZZZZZIIIZIIIIIII (0.11871608803610763+0j)
XIXYZIIIYZZZZIIIZIIIIIII (-0.03821976426456901+0j)
XIXXZIIIXIIZIIIIIIIIIIII (-0.03821976426456901+0j)
IIIIIIIZIIIZIIIIIIIIIIII (0.13775112171885776+0j)
IYZIYIXXIIIZIIIIIIIIIIII (-0.029449878528904867+0j)
IXZIYIXYIIIZIIIIIIIIIIII (0.029449878528904867+0j)
IIIIIIZZIIIZIIIIIIIIIIII (0.11052376938342269+0j)
ZIIIXIXZIIIZIIIIIIIIIIII (0.040821449482953534+0j)
IZZIYIYIIIIZIIIIIIIIIIII (0.040821449482953534+0j)
IIIIIZIIIIIZIIIIIIIIIIII (0.14671918240008772+0j)
IIIIZZZIIIIZIIIIIIIIIIII (0.15392231140464305+0j)
IIIZIIIIIIIZIIIIIIIIIIII (0.12270974198812833+0j)
IIZZIIIIIIIZIIIIIIIIIIII (0.11650876321672722+0j)
IZIIIIIIIIIZIIIIIIIIIIII (0.1171115335907457+0j)
ZZZIZIIIIIIZIIIIIIIIIIII (0.141803252792944+0j)
IIIIIIIIIYXYIIIIIIIIIIII (0.0008434384558961759+0j)
IIIIIIIIIXXXIIIIIIIIIIII (0.0008434384558961759+0j)
XIYIZIIIYIYYZIIIZIIIIIII (0.000676693367944593+0j)
XIXZZIIIYIYXZIIIZIIIIIII (0.000676693367944593+0j)
XIIIXIXYYXIXZIIIZIIIIIII (0.0024231125876219227+0j)
XIIIXIXXYYIXZIIIZIIIIIII (-0.0026046188121036933+0j)
XIIIXIXYYYZYZIIIZIIIIIII (-0.00018150622448177053+0j)
XIIIXIXXYXIYZIIIZIIIIIII (0.00018150622448177053+0j)
XIIIXIXYYXZXZIIIZIIIIIII (-0.0026046188121036933+0j)
XIIIXIXXYYZXZIIIZIIIIIII (0.0024231125876219227+0j)
XYZIZIIIYXIXZIIIZIIIIIII (0.0018428854068697287+0j)
XXZIZIIIYYIXZIIIZIIIIIII (-0.0012067868105316347+0j)
XYZIZIIIYYZYZIIIZIIIIIII (0.0006360985963380939+0j)
XXZIZIIIYXIYZIIIZIIIIIII (-0.0006360985963380939+0j)
XYZIZIIIYXZXZIIIZIIIIIII (-0.0012067868105316347+0j)
XXZIZIIIYYZXZIIIZIIIIIII (0.0018428854068697287+0j)
XIIIXIYIYZIXZIIIZIIIIIII (0.002990388216555385+0j)
XIIIXIXZXIZXIIIIIIIIIIII (0.002410358238392699+0j)
XIIIXIYIXIIYIIIIIIIIIIII (-0.0005800299781626868+0j)
XIIIXIXZYZIYZIIIZIIIIIII (-0.0005800299781626868+0j)
XIIIXIYIYZZXZIIIZIIIIIII (-0.002410358238392699+0j)
XIIIXIXZXIIXIIIIIIIIIIII (-0.002990388216555385+0j)
YIIIIIIIYZIXZIIIZIIIIIII (0.004633161357153095+0j)
XZZIZIIIXIZXIIIIIIIIIIII (0.0025374397282863386+0j)
YIIIIIIIXIIYIIIIIIIIIIII (-0.0020957216288667556+0j)
XZZIZIIIYZIYZIIIZIIIIIII (-0.0020957216288667556+0j)
YIIIIIIIYZZXZIIIZIIIIIII (-0.0025374397282863386+0j)
XZZIZIIIXIIXIIIIIIIIIIII (-0.004633161357153095+0j)
IIYIYIXXIIZXIIIIIIIIIIII (-0.0017071060503127298+0j)
IIXZYIXYIIZXIIIIIIIIIIII (0.0008699312606137737+0j)
IIYIYIXYIIIYIIIIIIIIIIII (-0.0008371747896989561+0j)
IIXZYIXXIIZYIIIIIIIIIIII (0.0008371747896989561+0j)
IIYIYIXXIIIXIIIIIIIIIIII (0.0008699312606137737+0j)
IIXZYIXYIIIXIIIIIIIIIIII (-0.0017071060503127298+0j)
IIXYYIXZIIZXIIIIIIIIIIII (0.002430872341451772+0j)
IIXXYIYIIIZXIIIIIIIIIIII (-0.002033433285482113+0j)
IIXYYIYIIIIYIIIIIIIIIIII (0.00039743905596966+0j)
IIXXYIXZIIZYIIIIIIIIIIII (-0.00039743905596966+0j)
IIXYYIXZIIIXIIIIIIIIIIII (-0.002033433285482113+0j)
IIXXYIYIIIIXIIIIIIIIIIII (0.002430872341451772+0j)
IIIIZXZIIIZXIIIIIIIIIIII (-0.005864429087585344+0j)
IIIIIXIIIIZXIIIIIIIIIIII (0.004486020172642796+0j)
IIIIZYZIIIIYIIIIIIIIIIII (-0.0013784089149425464+0j)
IIIIIYIIIIZYIIIIIIIIIIII (-0.0013784089149425464+0j)
IIIIZXZIIIIXIIIIIIIIIIII (0.004486020172642796+0j)
IIIIIXIIIIIXIIIIIIIIIIII (-0.005864429087585344+0j)
ZIXXZIIIIIZXIIIIIIIIIIII (-0.004217912520736751+0j)
IZYYIIIIIIZXIIIIIIIIIIII (-0.003562565261983196+0j)
ZIXYZIIIIIIYIIIIIIIIIIII (-0.0006553472587535543+0j)
IZYXIIIIIIZYIIIIIIIIIIII (-0.0006553472587535543+0j)
ZIXXZIIIIIIXIIIIIIIIIIII (0.003562565261983196+0j)
IZYYIIIIIIIXIIIIIIIIIIII (0.004217912520736751+0j)
IYYZIIIIIIZXIIIIIIIIIIII (-0.0012873169407825347+0j)
IXXIIIIIIIZXIIIIIIIIIIII (-0.0014314269858267709+0j)
IYXIIIIIIIIYIIIIIIIIIIII (-0.00014411004504423616+0j)
IXYZIIIIIIZYIIIIIIIIIIII (-0.00014411004504423616+0j)
IYYZIIIIIIIXIIIIIIIIIIII (0.0014314269858267709+0j)
IXXIIIIIIIIXIIIIIIIIIIII (0.0012873169407825347+0j)
XIYIZIIIYZXXZIIIZIIIIIII (0.00011549084790412581+0j)
XIXZZIIIYZXYZIIIZIIIIIII (-0.00011549084790412581+0j)
IIIIIIIIZXXXZIIIZIIIIIII (-0.0021764828513992688+0j)
IIIIIIIIZYXYZIIIZIIIIIII (-0.0021764828513992688+0j)
XIXYZIIIYXXXZIIIZIIIIIII (0.0028659958502875813+0j)
XIXXZIIIXYYXIIIIIIIIIIII (-0.0016273022372658053+0j)
XIXYZIIIXXYXIIIIIIIIIIII (-0.001238693613021776+0j)
XIXXZIIIYXXYZIIIZIIIIIII (-0.001238693613021776+0j)
XIXYZIIIYYXYZIIIZIIIIIII (0.0016273022372658053+0j)
XIXXZIIIXXYYIIIIIIIIIIII (0.0028659958502875813+0j)
IIIIIIIZIYYXIIIIIIIIIIII (0.003680193724840503+0j)
IIIIIIIZIXYYIIIIIIIIIIII (-0.003680193724840503+0j)
IYZIYIXXIYYXIIIIIIIIIIII (-0.0017857281439874412+0j)
IXZIYIXYIYYXIIIIIIIIIIII (0.0017861227467759753+0j)
IYZIYIXYIXYXIIIIIIIIIIII (-3.946027885344972e-07+0j)
IXZIYIXXIYYYIIIIIIIIIIII (-3.946027885344972e-07+0j)
IYZIYIXXIXYYIIIIIIIIIIII (0.0017861227467759753+0j)
IXZIYIXYIXYYIIIIIIIIIIII (-0.0017857281439874412+0j)
IIIIIIZZIYYXIIIIIIIIIIII (0.0021451690020486123+0j)
IIIIIIZZIXYYIIIIIIIIIIII (-0.0021451690020486123+0j)
ZIIIXIXZIYYXIIIIIIIIIIII (0.004003971231662097+0j)
IZZIYIYIIYYXIIIIIIIIIIII (0.002006535535900395+0j)
ZIIIXIYIIXYXIIIIIIIIIIII (-0.001997435695761701+0j)
IZZIYIXZIYYYIIIIIIIIIIII (0.001997435695761701+0j)
ZIIIXIXZIXYYIIIIIIIIIIII (-0.002006535535900395+0j)
IZZIYIYIIXYYIIIIIIIIIIII (-0.004003971231662097+0j)
IIIIIZIIIYYXIIIIIIIIIIII (0.003540017830899231+0j)
IIIIIZIIIXYYIIIIIIIIIIII (-0.003540017830899231+0j)
IIIIZZZIIYYXIIIIIIIIIIII (0.004728489593042607+0j)
IIIIZZZIIXYYIIIIIIIIIIII (-0.004728489593042607+0j)
IIIZIIIIIYYXIIIIIIIIIIII (0.002028823983365269+0j)
IIIZIIIIIXYYIIIIIIIIIIII (-0.002028823983365269+0j)
IIZZIIIIIYYXIIIIIIIIIIII (4.688583536444188e-05+0j)
IIZZIIIIIXYYIIIIIIIIIIII (-4.688583536444188e-05+0j)
IZIIIIIIIYYXIIIIIIIIIIII (0.0009208108308278179+0j)
IZIIIIIIIXYYIIIIIIIIIIII (-0.0009208108308278179+0j)
ZZZIZIIIIYYXIIIIIIIIIIII (0.0035902000938910898+0j)
ZZZIZIIIIXYYIIIIIIIIIIII (-0.0035902000938910898+0j)
XIYIZIIIXZYXIIIIIIIIIIII (-0.0012818237283248298+0j)
XIXZZIIIXZYYIIIIIIIIIIII (0.0012818237283248298+0j)
IIIIIIZXZIXXZIIIZIIIIIII (0.00023895239052429645+0j)
IIIIIIIXZIXXZIIIZIIIIIII (0.0008239558077147494+0j)
IIIIIIZYIZYXIIIIIIIIIIII (0.0010629081982390458+0j)
IIIIIIIYZIXYZIIIZIIIIIII (0.0010629081982390458+0j)
IIIIIIZXIZYYIIIIIIIIIIII (-0.0008239558077147494+0j)
IIIIIIIXIZYYIIIIIIIIIIII (-0.00023895239052429645+0j)
